# 도서산간 우편번호 시드 — 출처: 택배사 공통 기준표(campaignus/imweb 게시본, 2026-07-20 확인)
# 원본 오탈자 보정 2건: '경남 통영 54000'→전북 군산 섬지역, '전남 신안 28826'→58826
# 연륙교 연결 지역은 미포함 — 목록에 없으면 일반 판정 (추가비 과청구 방지 원칙)
# 교차 검증 2026-07-20: 독립 출처(도매꾹 지역표) 표본 12개 중 11개 일치. 차이는 15654(대부도·연륙교)뿐 — 위 원칙과 일치
# 공식 단일 출처 부재 확인 (CJ·우체국 미공개). 택배사 계약 확정 시 해당 사 기준표로 최종 정렬 예정
zip_code,kind,region_name
63384,jeju,제주특별자치도
63385,jeju,제주특별자치도
63386,jeju,제주특별자치도
63387,jeju,제주특별자치도
63388,jeju,제주특별자치도
63389,jeju,제주특별자치도
63390,jeju,제주특별자치도
63391,jeju,제주특별자치도
63392,jeju,제주특별자치도
63393,jeju,제주특별자치도
63394,jeju,제주특별자치도
63395,jeju,제주특별자치도
63396,jeju,제주특별자치도
63397,jeju,제주특별자치도
63398,jeju,제주특별자치도
63399,jeju,제주특별자치도
63400,jeju,제주특별자치도
63401,jeju,제주특별자치도
63402,jeju,제주특별자치도
63403,jeju,제주특별자치도
63404,jeju,제주특별자치도
63405,jeju,제주특별자치도
63406,jeju,제주특별자치도
63407,jeju,제주특별자치도
63408,jeju,제주특별자치도
63409,jeju,제주특별자치도
63410,jeju,제주특별자치도
63411,jeju,제주특별자치도
63412,jeju,제주특별자치도
63413,jeju,제주특별자치도
63414,jeju,제주특별자치도
63415,jeju,제주특별자치도
63416,jeju,제주특별자치도
63417,jeju,제주특별자치도
63418,jeju,제주특별자치도
63419,jeju,제주특별자치도
63420,jeju,제주특별자치도
63421,jeju,제주특별자치도
63422,jeju,제주특별자치도
63423,jeju,제주특별자치도
63424,jeju,제주특별자치도
63425,jeju,제주특별자치도
63426,jeju,제주특별자치도
63427,jeju,제주특별자치도
63428,jeju,제주특별자치도
63429,jeju,제주특별자치도
63430,jeju,제주특별자치도
63431,jeju,제주특별자치도
63432,jeju,제주특별자치도
63433,jeju,제주특별자치도
63434,jeju,제주특별자치도
63435,jeju,제주특별자치도
63436,jeju,제주특별자치도
63437,jeju,제주특별자치도
63438,jeju,제주특별자치도
63439,jeju,제주특별자치도
63440,jeju,제주특별자치도
63441,jeju,제주특별자치도
63442,jeju,제주특별자치도
63443,jeju,제주특별자치도
63444,jeju,제주특별자치도
63445,jeju,제주특별자치도
63446,jeju,제주특별자치도
63447,jeju,제주특별자치도
63448,jeju,제주특별자치도
63449,jeju,제주특별자치도
63450,jeju,제주특별자치도
63451,jeju,제주특별자치도
63452,jeju,제주특별자치도
63453,jeju,제주특별자치도
63454,jeju,제주특별자치도
63455,jeju,제주특별자치도
63456,jeju,제주특별자치도
63457,jeju,제주특별자치도
63458,jeju,제주특별자치도
63459,jeju,제주특별자치도
63460,jeju,제주특별자치도
63461,jeju,제주특별자치도
63462,jeju,제주특별자치도
63463,jeju,제주특별자치도
63464,jeju,제주특별자치도
63465,jeju,제주특별자치도
63466,jeju,제주특별자치도
63467,jeju,제주특별자치도
63468,jeju,제주특별자치도
63469,jeju,제주특별자치도
63470,jeju,제주특별자치도
63471,jeju,제주특별자치도
63472,jeju,제주특별자치도
63473,jeju,제주특별자치도
63474,jeju,제주특별자치도
63475,jeju,제주특별자치도
63476,jeju,제주특별자치도
63477,jeju,제주특별자치도
63478,jeju,제주특별자치도
63479,jeju,제주특별자치도
63480,jeju,제주특별자치도
63481,jeju,제주특별자치도
63482,jeju,제주특별자치도
63483,jeju,제주특별자치도
63484,jeju,제주특별자치도
63485,jeju,제주특별자치도
63486,jeju,제주특별자치도
63487,jeju,제주특별자치도
63488,jeju,제주특별자치도
63489,jeju,제주특별자치도
63490,jeju,제주특별자치도
63491,jeju,제주특별자치도
63492,jeju,제주특별자치도
63493,jeju,제주특별자치도
63494,jeju,제주특별자치도
63495,jeju,제주특별자치도
63496,jeju,제주특별자치도
63497,jeju,제주특별자치도
63498,jeju,제주특별자치도
63499,jeju,제주특별자치도
63500,jeju,제주특별자치도
63501,jeju,제주특별자치도
63502,jeju,제주특별자치도
63503,jeju,제주특별자치도
63504,jeju,제주특별자치도
63505,jeju,제주특별자치도
